"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/25/2016 00:05:00","CAPITL",61757,15.48,0.97,0.00
"10/25/2016 00:05:00","CENTRL",61754,14.52,0.01,0.00
"10/25/2016 00:05:00","DUNWOD",61760,15.93,1.42,0.00
"10/25/2016 00:05:00","GENESE",61753,14.20,-0.31,0.00
"10/25/2016 00:05:00","H Q",61844,14.06,-0.45,0.00
"10/25/2016 00:05:00","HUD VL",61758,15.87,1.36,0.00
"10/25/2016 00:05:00","LONGIL",61762,16.39,1.88,0.00
"10/25/2016 00:05:00","MHK VL",61756,14.91,0.41,0.00
"10/25/2016 00:05:00","MILLWD",61759,15.93,1.42,0.00
"10/25/2016 00:05:00","N.Y.C.",61761,16.03,1.52,0.00
"10/25/2016 00:05:00","NORTH",61755,13.84,-0.67,0.00
"10/25/2016 00:05:00","NPX",61845,15.94,1.44,0.00
"10/25/2016 00:05:00","O H",61846,13.84,-0.67,0.00
"10/25/2016 00:05:00","PJM",61847,14.90,0.39,0.00
"10/25/2016 00:05:00","WEST",61752,14.04,-0.46,0.00
"10/25/2016 00:10:00","CAPITL",61757,14.59,0.94,0.00
"10/25/2016 00:10:00","CENTRL",61754,13.73,0.08,0.00
"10/25/2016 00:10:00","DUNWOD",61760,14.93,1.28,0.00
"10/25/2016 00:10:00","GENESE",61753,13.44,-0.20,0.00
"10/25/2016 00:10:00","H Q",61844,13.21,-0.44,0.00
"10/25/2016 00:10:00","HUD VL",61758,14.89,1.24,0.00
"10/25/2016 00:10:00","LONGIL",61762,15.30,1.65,0.00
"10/25/2016 00:10:00","MHK VL",61756,14.04,0.40,0.00
"10/25/2016 00:10:00","MILLWD",61759,14.93,1.28,0.00
"10/25/2016 00:10:00","N.Y.C.",61761,15.03,1.38,0.00
"10/25/2016 00:10:00","NORTH",61755,12.99,-0.65,0.00
"10/25/2016 00:10:00","NPX",61845,14.96,1.31,0.00
"10/25/2016 00:10:00","O H",61846,13.17,-0.48,0.00
"10/25/2016 00:10:00","PJM",61847,14.10,0.45,0.00
"10/25/2016 00:10:00","WEST",61752,13.38,-0.27,0.00
"10/25/2016 00:15:00","CAPITL",61757,16.61,1.06,0.00
"10/25/2016 00:15:00","CENTRL",61754,15.68,0.12,0.00
"10/25/2016 00:15:00","DUNWOD",61760,16.95,1.40,0.00
"10/25/2016 00:15:00","GENESE",61753,15.34,-0.22,0.00
"10/25/2016 00:15:00","H Q",61844,15.04,-0.51,0.00
"10/25/2016 00:15:00","HUD VL",61758,16.91,1.35,0.00
"10/25/2016 00:15:00","LONGIL",61762,17.26,1.71,0.00
"10/25/2016 00:15:00","MHK VL",61756,15.99,0.43,0.00
"10/25/2016 00:15:00","MILLWD",61759,16.95,1.40,0.00
"10/25/2016 00:15:00","N.Y.C.",61761,17.05,1.49,0.00
"10/25/2016 00:15:00","NORTH",61755,14.79,-0.76,0.00
"10/25/2016 00:15:00","NPX",61845,16.97,1.42,0.00
"10/25/2016 00:15:00","O H",61846,15.04,-0.51,0.00
"10/25/2016 00:15:00","PJM",61847,16.07,0.51,0.00
"10/25/2016 00:15:00","WEST",61752,15.26,-0.30,0.00
"10/25/2016 00:20:00","CAPITL",61757,15.60,1.01,0.00
"10/25/2016 00:20:00","CENTRL",61754,14.67,0.07,0.00
"10/25/2016 00:20:00","DUNWOD",61760,15.94,1.34,0.00
"10/25/2016 00:20:00","GENESE",61753,14.36,-0.23,0.00
"10/25/2016 00:20:00","H Q",61844,14.12,-0.48,0.00
"10/25/2016 00:20:00","HUD VL",61758,15.88,1.28,0.00
"10/25/2016 00:20:00","LONGIL",61762,16.22,1.62,0.00
"10/25/2016 00:20:00","MHK VL",61756,15.01,0.41,0.00
"10/25/2016 00:20:00","MILLWD",61759,15.94,1.34,0.00
"10/25/2016 00:20:00","N.Y.C.",61761,16.03,1.43,0.00
"10/25/2016 00:20:00","NORTH",61755,13.88,-0.71,0.00
"10/25/2016 00:20:00","NPX",61845,15.99,1.39,0.00
"10/25/2016 00:20:00","O H",61846,14.06,-0.54,0.00
"10/25/2016 00:20:00","PJM",61847,15.04,0.44,0.00
"10/25/2016 00:20:00","WEST",61752,14.26,-0.34,0.00
"10/25/2016 00:25:00","CAPITL",61757,13.68,0.87,0.00
"10/25/2016 00:25:00","CENTRL",61754,12.91,0.10,0.00
"10/25/2016 00:25:00","DUNWOD",61760,13.96,1.15,0.00
"10/25/2016 00:25:00","GENESE",61753,12.62,-0.18,0.00
"10/25/2016 00:25:00","H Q",61844,12.38,-0.42,0.00
"10/25/2016 00:25:00","HUD VL",61758,13.92,1.11,0.00
"10/25/2016 00:25:00","LONGIL",61762,14.24,1.43,0.00
"10/25/2016 00:25:00","MHK VL",61756,13.18,0.37,0.00
"10/25/2016 00:25:00","MILLWD",61759,13.96,1.15,0.00
"10/25/2016 00:25:00","N.Y.C.",61761,14.03,1.23,0.00
"10/25/2016 00:25:00","NORTH",61755,12.16,-0.64,0.00
"10/25/2016 00:25:00","NPX",61845,13.98,1.18,0.00
"10/25/2016 00:25:00","O H",61846,12.41,-0.40,0.00
"10/25/2016 00:25:00","PJM",61847,13.24,0.44,0.00
"10/25/2016 00:25:00","WEST",61752,12.59,-0.22,0.00
"10/25/2016 00:30:00","CAPITL",61757,11.11,0.67,0.00
"10/25/2016 00:30:00","CENTRL",61754,10.55,0.12,0.00
"10/25/2016 00:30:00","DUNWOD",61760,11.37,0.93,0.00
"10/25/2016 00:30:00","GENESE",61753,10.33,-0.10,0.00
"10/25/2016 00:30:00","H Q",61844,10.08,-0.35,0.00
"10/25/2016 00:30:00","HUD VL",61758,11.34,0.90,0.00
"10/25/2016 00:30:00","LONGIL",61762,11.62,1.18,0.00
"10/25/2016 00:30:00","MHK VL",61756,10.75,0.31,0.00
"10/25/2016 00:30:00","MILLWD",61759,11.37,0.93,0.00
"10/25/2016 00:30:00","N.Y.C.",61761,11.43,0.99,0.00
"10/25/2016 00:30:00","NORTH",61755,9.89,-0.54,0.00
"10/25/2016 00:30:00","NPX",61845,11.31,0.88,0.00
"10/25/2016 00:30:00","O H",61846,10.19,-0.25,0.00
"10/25/2016 00:30:00","PJM",61847,10.84,0.41,0.00
"10/25/2016 00:30:00","WEST",61752,10.33,-0.10,0.00
"10/25/2016 00:35:00","CAPITL",61757,5.53,0.34,0.00
